product_id,airflow,power,operating_voltage,fan_speed
251,8465,94,120,49
252,3980,35,120,14
253,3520,14,110,16
254,2392,10,120,22
255,6952,40,110,32
256,6951,45,120,44
257,6180,67,110,25
258,6387,77,110,26
259,8455,45,110,32
260,6134,54,110,35
261,9748,100,120,12
262,6144,77,120,45
263,4817,100,110,23
264,7089,34,110,37
265,4381,39,110,32
266,6488,97,110,27
267,8440,8,120,33
268,5358,14,120,46
269,6880,28,120,20
270,4459,90,120,49
271,3425,9,120,19
272,3448,68,120,41
273,2601,13,110,29
274,5607,32,110,35
275,2529,51,110,40
276,5123,14,110,27
277,5746,60,120,33
278,5797,27,120,19
279,9173,25,110,49
280,9858,38,120,29
281,2899,59,120,21
282,2945,49,110,24
283,8030,100,120,40
284,7478,32,110,32
285,4162,45,120,26
286,4298,72,120,24
287,6208,21,110,27
288,7837,57,110,12
289,2678,77,120,35
290,7704,91,120,50
291,8668,19,110,28
292,9727,8,110,50
293,8797,22,110,31
294,4002,56,120,10
295,2756,45,120,27
296,5066,30,120,40
297,6657,77,120,27
298,5593,85,120,45
299,5125,72,120,29
300,3742,28,110,35
301,3906,5,120,40
302,4247,75,120,41
303,8837,37,120,20
304,8854,87,120,13
305,4137,55,120,25
306,5421,13,120,26
307,2982,82,110,22
308,6448,86,110,47
309,5720,55,120,12
310,6242,58,110,20
311,9366,21,120,27
312,8179,25,110,37
313,5156,41,110,10
314,9062,71,120,48
315,2702,13,110,44
316,7020,29,120,36
317,4234,42,110,27
318,6886,38,120,23
319,8510,64,110,29
320,2011,35,120,37
321,2195,81,110,44
322,8504,37,110,38
323,3261,75,110,49
324,2227,20,120,10
325,4232,79,110,26
326,7775,20,110,25
327,2667,19,120,33
328,5875,6,110,18
329,9049,79,120,22
330,5366,8,120,27
331,7746,83,110,25
332,4877,95,110,40
333,8942,41,110,49
334,3436,32,110,11
335,6534,56,110,22
336,2675,55,120,41
337,8558,23,120,12
338,9925,86,120,13
339,9953,47,120,22
340,2469,77,120,15
341,8078,72,120,18
342,9786,76,120,46
343,5906,65,110,10
344,2882,43,120,28
345,2423,45,110,25
346,9608,57,110,19
347,3718,63,120,13
348,6575,38,110,30
349,7931,34,110,41
350,5050,25,110,34
351,3336,5,120,28
352,6064,70,120,36
353,8994,50,120,21
354,3043,84,120,47
355,7595,12,110,40
356,6628,17,110,27
357,4958,82,120,33
358,9963,91,120,29
359,4168,61,110,15
360,7855,94,120,33
361,9656,83,110,12
362,4216,91,110,36
363,2843,61,110,21
364,5890,11,110,26
365,4584,54,120,38
366,3750,65,120,11
367,9050,42,110,39
368,8166,22,110,12
369,2511,75,120,38
370,2863,30,110,38
371,8789,62,120,41
372,8448,40,120,10
373,9956,66,110,26
374,4950,98,120,14
375,7545,8,110,11
376,7892,84,110,49
377,6771,22,110,47
378,8257,24,120,39
379,4636,91,120,41
380,8305,75,120,26
381,2737,16,120,48
382,8829,59,120,32
383,5754,7,110,44
384,4233,52,110,42
385,8740,99,110,47
386,9120,9,120,33
387,7904,20,120,11
388,5059,57,120,27
389,7139,59,110,40
390,7980,89,120,47
391,5735,58,120,22
392,3865,86,120,26
393,3472,9,110,14
394,7178,92,120,10
395,3484,32,110,27
396,6353,38,120,31
397,4497,50,110,12
398,2203,64,120,36
399,2750,46,120,21
400,8427,7,120,20
401,6276,83,110,20
402,3532,19,120,32
403,4302,40,110,20
404,4751,75,110,41
405,3158,5,110,45
406,3593,71,120,40
407,8292,76,110,36
408,8058,16,120,38
409,8164,31,120,23
410,3414,67,110,47
411,3119,90,120,37
412,7544,50,120,29
413,3442,93,120,19
414,7963,71,120,42
415,2739,55,120,33
416,6790,28,110,42
417,5850,80,120,38
418,4267,56,110,42
419,8983,100,120,39
420,9036,18,110,49
421,3025,50,120,43
422,7157,9,120,42
423,6529,88,120,44
424,5732,48,120,49
425,4132,42,110,42
426,6976,91,120,17
427,7801,47,110,22
428,7129,65,120,47
429,8491,30,120,24
430,7744,38,120,29
431,8832,5,110,15
432,6802,80,120,24
433,4144,57,120,12
434,7177,59,110,35
435,8892,37,120,42
436,5698,89,120,35
437,6654,66,110,26
438,3108,68,110,24
439,8671,81,120,23
440,3823,45,120,15
441,7741,58,120,12
442,9911,41,110,43
443,5128,98,110,16
444,7528,51,110,38
445,8111,12,120,44
446,6309,28,110,17
447,6349,74,120,30
448,5170,94,120,21
449,2878,43,110,44
450,6157,67,120,11
451,3653,79,110,19
452,7117,82,120,17
453,8170,7,110,30
454,2988,18,110,36
455,5133,42,110,48
456,5427,32,110,14
457,9515,42,110,15
458,7190,57,110,37
459,4436,35,110,14
460,9736,46,110,30
461,9778,6,120,38
462,3185,57,110,42
463,8581,65,120,16
464,2830,63,120,10
465,5393,73,120,11
466,8186,66,120,40
467,8832,67,110,48
468,2766,97,110,23
469,9997,75,110,37
470,9629,31,110,36
471,2777,79,110,14
472,9460,30,120,21
473,3256,64,110,41
474,4815,77,120,14
475,6018,46,110,25
476,5547,89,120,50
477,9084,59,110,19
478,4641,74,120,27
479,8280,59,110,38
480,7924,94,110,33
481,2927,47,110,16
482,2443,32,120,34
483,8887,85,110,33
484,4396,28,110,42
485,2564,28,110,33
486,8700,49,120,16
487,7853,20,110,46
488,3018,64,110,19
489,7685,66,120,18
490,2216,65,120,35
491,4771,50,110,21
492,4857,30,120,34
493,4400,88,120,36
494,2515,73,120,35
495,7179,35,120,48
496,7423,54,120,10
497,4372,7,110,43
498,8743,64,110,20
499,6082,8,110,31
500,5350,99,110,49
501,5323,34,110,29
502,2367,79,120,43
503,5187,27,110,22
504,4191,49,110,14
505,3813,5,110,29
506,8646,80,110,31
507,4954,48,120,24
508,8915,64,110,12
509,8191,35,110,30
510,4813,17,110,36
511,2008,97,110,45
512,3449,11,110,12
513,6582,94,110,31
514,6479,33,120,45
515,2469,13,110,23
516,4739,97,110,13
517,7919,65,120,42
518,3112,98,120,37
519,5391,29,120,38
520,9249,47,120,22
521,7504,76,110,35
522,6776,73,110,38
523,4708,36,120,35
524,6607,74,120,26
525,9533,30,120,36
526,7095,71,110,34
527,8607,69,120,18
528,3391,43,120,16
529,6811,86,110,28
530,2547,78,120,30
531,3570,76,110,15
532,6741,84,110,35
533,3758,70,110,36
534,4588,14,110,42
535,3221,66,120,37
536,7797,56,120,20
537,8356,69,120,27
538,8817,50,120,27
539,4089,38,110,46
540,3687,98,120,23
541,6315,89,110,31
542,3295,63,110,21
543,9973,18,120,48
544,5390,83,110,14
545,6173,31,120,47
546,5234,73,120,17
547,4688,37,110,23
548,4639,62,120,30
549,3998,61,110,33
550,9369,17,120,50
551,7692,73,110,20
552,5208,45,120,21
553,6408,37,110,45
554,4971,16,120,26
555,7732,14,110,40
556,2936,65,120,49
557,8246,27,120,30
558,5451,67,110,40
559,4892,73,120,20
560,3107,23,110,37
561,7247,22,110,23
562,6628,91,110,19
563,7500,95,110,13
564,3379,100,120,16
565,6019,75,120,27
566,9528,95,120,16
567,7641,87,110,36
568,8793,75,120,32
569,2257,36,120,37
570,7810,58,120,40
571,2485,10,110,27
572,9923,88,120,14
573,6150,70,110,21
574,2221,68,120,33
575,7682,59,110,11
576,9722,93,120,24
577,8150,41,120,13
578,6786,64,120,45
579,8985,90,120,45
580,3710,17,110,34
581,4415,73,120,49
582,4078,34,120,37
583,3758,48,110,30
584,8646,16,110,41
585,6869,51,120,21
586,4947,35,110,45
587,8965,58,120,45
588,7607,28,110,25
589,8041,66,120,22
590,5317,15,120,35
591,4094,99,120,43
592,7199,71,120,47
593,8498,11,120,10
594,8842,67,120,35
595,5391,15,110,18
596,3470,91,120,31
597,2451,89,110,37
598,4516,42,110,34
599,2499,42,120,33
600,7701,77,110,38
601,9380,68,110,50
602,4760,59,120,17
603,9326,91,110,31
604,8123,55,120,23
605,2605,16,110,12
606,2709,90,110,40
607,7964,34,110,41
608,4736,93,110,14
609,9127,30,120,32
610,9742,66,110,48
611,6273,21,110,44
612,4604,45,110,17
613,7163,22,110,14
614,4075,75,120,45
615,9997,77,120,17
616,8329,42,120,28
617,8849,44,120,18
618,4779,20,110,18
619,3030,68,110,25
620,6392,26,110,21
621,6260,95,120,17
622,2624,80,120,49
623,8934,40,110,28
624,2866,45,110,21
625,5258,54,110,31
626,8402,98,110,34
627,5832,14,110,31
628,8917,45,120,47
629,5940,29,110,15
630,4012,93,110,10
631,9761,36,110,22
632,6059,22,120,25
633,2799,39,120,50
634,3076,91,120,50
635,2234,71,110,49
636,5257,96,110,23
637,4992,62,120,42
638,2339,16,110,12
639,2214,25,110,43
640,2317,39,110,31
641,7654,56,120,40
642,2443,56,110,13
643,4291,81,110,50
644,8512,74,110,22
645,6079,73,110,18
646,7545,29,110,13
647,9002,42,110,49
648,3392,19,110,34
649,2594,29,110,22
650,9523,100,110,33
651,4324,93,110,11
652,9130,100,110,18
653,2485,97,120,33
654,9223,38,110,40
655,7540,47,120,21
656,2781,7,120,19
657,7305,60,120,50
658,7263,89,120,41
659,9842,16,110,38
660,9989,53,120,21
661,4686,97,110,31
662,2893,94,120,34
663,7670,20,110,38
664,2594,60,120,22
665,6866,35,120,31
666,6530,7,110,40
667,3249,31,120,26
668,8145,29,120,10
669,7172,75,110,41
670,9456,11,120,49
671,8255,45,110,27
672,3375,47,110,42
673,6913,86,120,48
674,6637,21,120,12
675,4935,11,120,42
676,5230,56,120,21
677,7795,34,120,21
678,3696,84,110,26
679,3370,86,120,20
680,2841,20,110,22
681,7770,32,110,44
682,3686,50,120,48
683,7746,59,120,17
684,4330,97,120,33
685,2258,7,110,14
686,7679,54,120,37
687,4021,93,110,44
688,5799,98,110,15
689,4892,20,120,50
690,3998,70,110,20
691,3150,34,120,34
692,8921,48,120,26
693,2515,58,120,30
694,3833,72,110,13
695,5396,85,120,14
696,4859,13,120,17
697,4009,76,110,47
698,5570,86,120,35
699,6529,79,110,42
700,7697,87,110,22
701,6147,78,110,25
702,9171,50,120,32
703,5117,5,120,46
704,9769,48,120,50
705,7571,36,120,36
706,2192,58,110,35
707,3871,68,120,38
708,2601,13,110,24
709,3408,28,110,23
710,5902,88,110,15
711,8346,40,120,24
712,5858,59,110,24
713,5132,38,110,23
714,4846,9,110,25
715,3164,43,110,36
716,2155,73,120,42
717,3788,64,110,32
718,8769,97,120,23
719,7782,5,120,29
720,9860,14,110,50
721,7829,21,110,18
722,3479,57,120,50
723,7475,72,120,27
724,8129,64,120,23
725,7480,92,110,47
726,4336,99,120,25
727,7474,8,120,26
728,3418,65,110,44
729,6306,18,110,24
730,8410,86,120,24
731,2730,97,120,10
732,3954,62,110,29
733,4485,76,120,41
734,5928,43,110,40
735,4752,93,120,11
736,6062,18,110,36
737,8707,78,110,49
738,8781,60,110,21
739,4326,17,110,29
740,7527,80,120,21
741,4584,21,120,25
742,9995,80,110,18
743,9142,61,120,34
744,6630,17,120,30
745,7306,70,110,30
746,9499,41,120,48
747,5404,7,110,34
748,3792,59,120,18
749,9141,7,120,14
750,8386,8,120,20
751,6902,100,110,32
752,7447,46,110,30
753,6451,5,120,26
754,5762,58,120,27
755,5639,76,120,26
756,9777,67,110,16
757,3809,20,110,18
758,3141,59,120,45
759,8860,21,110,37
760,9774,33,120,12
761,3407,7,120,49
762,3733,42,110,30
763,8869,95,120,24
764,5347,13,110,35
765,5456,46,110,48
766,8266,11,120,41
767,6083,87,110,38
768,3286,79,110,31
769,4099,54,110,30
770,4342,10,120,19
771,6090,69,120,33
772,9138,27,110,21
773,2038,28,120,37
774,2479,69,120,39
775,9996,43,110,26
776,9889,66,110,17
777,3565,94,120,31
778,4973,66,110,32
779,7056,25,120,19
780,3324,15,120,31
781,6126,44,120,26
782,3832,73,110,40
783,8473,48,110,39
784,2175,44,110,25
785,4199,41,120,38
786,5474,61,110,44
787,4601,20,110,29
788,5521,90,120,16
789,7151,6,120,32
790,6075,55,110,42
791,2887,12,110,13
792,5334,58,110,49
793,7282,15,110,30
794,5032,18,120,50
795,6030,10,120,25
796,4786,18,120,25
797,7829,23,110,40
798,4083,78,110,10
799,4258,43,110,41
800,7001,49,120,20
801,4217,73,110,50
802,7078,47,110,42
803,9723,12,110,42
804,4953,35,110,16
805,3978,66,110,14
806,7177,85,110,48
807,7734,78,110,12
808,8304,28,120,33
809,2035,14,120,35
810,2933,75,110,24
811,3664,66,110,19
812,5027,7,110,28
813,6422,41,110,48
814,9651,50,120,37
815,4704,77,120,28
816,2595,25,120,24
817,7661,34,110,17
818,7209,72,120,49
819,7843,46,120,38
820,9365,63,120,43
821,7675,52,120,46
822,4578,69,110,40
823,5357,41,120,30
824,2983,64,110,10
825,6320,57,120,48
826,8088,75,120,12
827,4927,62,110,36
828,4486,70,120,47
829,3747,79,110,10
830,5391,66,110,31
831,5978,10,120,18
832,2271,48,110,33
833,6543,41,110,33
834,3485,42,110,11
835,6699,40,120,23
836,3803,82,110,17
837,7214,93,120,26
838,5806,76,110,27
839,4178,40,120,20
840,7167,66,120,43
841,9294,69,120,44
842,8546,99,120,37
843,8625,95,110,19
844,6467,23,110,44
845,8309,23,110,37
846,3328,35,110,10
847,6504,25,120,24
848,8459,34,110,24
849,8460,6,110,46
850,7091,22,110,45
851,7085,58,110,22
852,5085,36,110,45
853,4310,74,120,36
854,6622,16,120,27
855,7662,86,110,12
856,2631,60,110,38
857,5171,43,110,28
858,7370,19,110,42
859,6590,66,120,16
860,8001,47,120,26
861,8466,35,110,17
862,9584,69,120,10
863,9563,37,120,41
864,8022,25,120,12
865,6752,43,120,16
866,5616,25,120,22
867,2887,64,120,41
868,8861,34,110,18
869,5575,61,120,18
870,7511,17,120,27
871,7085,7,120,35
872,4290,9,110,25
873,3678,29,120,40
874,9980,80,110,40
875,6662,6,110,18
876,4028,52,120,42
877,3030,57,110,45
878,6353,54,120,46
879,2417,97,110,25
880,4171,69,120,43
881,5429,84,110,38
882,5892,45,110,20
883,6354,59,120,39
884,9185,10,110,28
885,7282,37,110,23
886,5975,91,110,31
887,6786,82,110,48
888,5661,18,110,47
889,9044,92,110,17
890,6415,63,120,30
891,7278,14,120,42
892,3411,43,110,10
893,8949,78,110,35
894,9141,69,110,21
895,3125,29,120,25
896,6088,89,110,26
897,6564,58,110,15
898,4715,94,110,26
899,3785,56,120,34
900,6649,55,120,23
901,7487,95,110,31
902,2475,99,120,42
903,5070,73,120,11
904,7363,56,120,42
905,6022,46,110,40
906,9258,42,110,44
907,7623,15,120,39
908,3833,86,120,36
909,7992,55,120,46
910,6185,29,120,17
911,6248,58,110,39
912,6687,97,110,31
913,8460,68,120,23
914,9346,52,110,27
915,2049,79,110,20
916,3212,59,120,15
917,2520,22,120,40
918,5895,60,120,45
919,8462,70,120,15
920,4441,74,110,18
921,6376,87,110,44
922,8023,15,120,33
923,2115,66,110,41
924,3593,81,110,24
925,9460,32,110,40
926,8784,48,120,16
927,6318,12,120,22
928,7151,93,110,11
929,5917,40,120,33
930,7323,52,110,41
931,3294,48,110,38
932,7098,81,120,47
933,5659,80,120,18
934,5838,74,110,21
935,3076,94,110,37
936,8528,26,110,47
937,7725,53,120,40
938,9381,75,120,32
939,6436,50,120,25
940,6115,94,120,18
941,5566,68,120,41
942,5662,20,120,12
943,7415,16,120,41
944,8157,81,110,42
945,3181,56,110,49
946,4487,29,110,16
947,9604,90,120,31
948,8588,48,120,39
949,4201,77,110,34
950,8584,16,120,19
951,8932,62,110,22
952,9762,55,110,44
953,3809,100,120,50
954,8579,68,120,30
955,4703,42,120,32
956,3455,28,110,17
957,3054,71,110,39
958,2044,72,120,37
959,5066,38,120,44
960,5655,30,120,38
961,3104,93,110,22
962,5996,80,120,43
963,8191,81,110,23
964,6856,65,120,38
965,8126,53,110,44
966,2768,39,110,45
967,5689,18,110,36
968,8873,66,110,37
969,7743,61,120,35
970,3791,50,110,49
971,9875,97,120,23
972,9506,43,110,28
973,6889,67,120,19
974,4353,68,110,31
975,3037,46,110,45
976,9530,24,120,46
977,2215,31,120,28
978,9582,75,120,27
979,6793,64,110,32
980,5923,82,120,15
981,6826,91,110,37
982,2051,72,120,35
983,5384,32,120,29
984,4435,5,120,36
985,8388,7,120,39
986,7090,78,110,13
987,7810,42,120,45
988,7971,29,110,46
989,9127,99,110,48
990,9178,57,110,47
991,7723,34,110,50
992,8029,98,110,47
993,7990,19,110,45
994,5457,80,110,45
995,2702,46,110,33
996,5049,60,110,11
997,5854,86,110,11
998,4830,20,110,16
999,6996,88,110,13
1000,6134,97,110,21
